"
Source",Unit no.,Function,"Work party / supply depot address
",Town,Full Address,Latitude,Longitude,County (ancient),County (modern),Opened,Closed,"Established / run by (last name)
",First and middle names,Gender,Marital status,Collaborators
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Newbridge,Newbridge Ireland ,53.1750758,-6.8047467,Kildare,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Newcastle,Newcastle Ireland ,54.21614,-5.8920445,Down,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Newport,Newport Ireland ,53.8852758,-9.5463685,Tipperary,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Newport,Newport Ireland ,53.8852758,-9.5463685,Mayo,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Newton Forbes,Newton Forbes Ireland ,53.7654838,-7.835621,Longford,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,4065,general supply depot,NEWTOWN HAMILTON,(in Co. Armagh?),Newtown Ireland ,54.1906 / ,-6.5764,Co. Armagh,Co. Armagh,,[1919],McFerran,not stated,f,married,
http://www.scarletfinders.co.uk/178.html,1617,general supply depot,"COMMANDANT DOWN, 60 THE CROFT",Newtownards,Newtownards Ireland ,54.5913787,-5.6931703,,Down,,[1919],Blow,A. S.,f,married,
http://www.scarletfinders.co.uk/178.html,4426,general supply depot,10 FRANCIS STREET,Newtownards,Newtownards Ireland ,54.5913787,-5.6931703,,Down,,[1919],Iveston,not stated,f,single,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss depot,moss depot,not stated,Newtownbarry,Newtownbarry Ireland ,52.6496278,-6.6590544,,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,O’blayney (Castleblayney),O’blayney (Castleblayney) Ireland ,54.119015,-6.730563,Monaghan,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss depot,moss depot,not stated,Oldcastle,Oldcastle Ireland ,53.7700178,-7.1624118,Kildare,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Oldcastle,Oldcastle Ireland ,53.7700178,-7.1624118,Kildare,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,5317,general supply depot,THE MANSE,Omagh,Omagh Ireland ,54.5977149,-7.3099597,,Tyrone,,[1919],MacAfee,not stated,f,married,
 Royal College of Science Sub-Depot report for 1915 and 1916,moss collection centre,moss collection centre,not stated,Oughterard,Oughterard Ireland ,53.4285481,-9.3189472,Galway,,,[1919],Bernard,Miss,,,
http://www.scarletfinders.co.uk/178.html,5177,general supply depot,RIVERBANK,Pettigoe,Pettigoe Ireland ,54.54943,-7.8320339,,Donegal,,[1919],Dickson,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Philipstown,Philipstown Ireland ,53.8159478,-6.4755989,King's County,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,5354,general supply depot,CARRICK BLACKER,Portadown,Portadown Ireland ,54.4203331,-6.4548387,,Armagh,,[1919],Blacker,S.W.,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Portadown,Portadown Ireland ,54.4203331,-6.4548387,,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Portarlington,Portarlington Ireland ,53.161211,-7.1877573,Queen’s County,Laois,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Portarlington,Portarlington Ireland ,53.161211,-7.1877573,Queen’s County,Laois,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation / Waterford News and Star 1848-current, Friday, July 09, 1915; Page: 8",none,moss depot (initially planned as general supply depot),not stated,Portlaw,Portlaw Ireland ,52.2881989,-7.3144407,,,1915-,[1919],Lady Waterford,,f,married,
http://www.scarletfinders.co.uk/178.html,5455,general supply depot,ARDEEVIN,Portrush,Portrush Ireland ,55.2041945,-6.6526708,,,,[1919],Cox,H.,f,single,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Portumna,Portumna Ireland ,53.0927811,-8.2185406,Galway,,,[1919],,,,,
 Royal College of Science Sub-Depot report for 1915 and 1916,none,moss collection centre,not stated,Portumna,Portumna Ireland ,53.0927811,-8.2185406,Galway,,,[1919],Moeran,Mrs,f,,
"Derry Journal 1844-1924, Monday, April 08, 1918; Page: 4",none,general supply depot (affiliated with Coleraine?),wanted to use a school room in a Methodist church but had to look elsewhere when the pastor objected?,Portstewart,Portstewart Ireland,,,Derry,,April 1918,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Puckaun,Puckaun Ireland ,52.931884,-8.2385501,Tipperary,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Queenstown,Queenstown Ireland ,51.8503357,-8.2942858,Cork,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Rahan,Rahan Ireland ,53.2797842,-7.6158908,King's County,Offaly,,[1919],,,,,
"Derry Journal 1844-1924, Monday, April 15, 1918; Page: 2",none,general supply depot,not stated,Raphoe,,,,,,,,,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Rathdrum,Rathdrum Ireland ,52.9323123,-6.2311012,Wicklow,Wicklow,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Rathmelton,Rathmelton Ireland ,55.0359,-7.64809,Donegal,Donegal,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Rathowen,Rathowen Ireland ,53.656076,-7.5203959,Meath,Meath,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,"Rathrew (
Rathnew
Ráth Naoi)","Rathrew (
Rathnew
Ráth Naoi) Ireland ",52.9946004,-6.082812,Wicklow,Wicklow,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Ravensdale,Ravensdale Ireland ,54.0563584,-6.3383888,Louth,,,[1919],,,,,
 Royal College of Science Sub-Depot report for 1915 and 1916,none,moss collection centre,not stated,Recess,Recess Ireland ,53.4655285,-9.7237017,Galway,Galway,,[1919],Wilcox,Mr,m,,
http://www.scarletfinders.co.uk/178.html,4470,general supply depot,HOCKLEY LODGE,Richhill (Log a' Choire),Richhill (Log a' Choire) Ireland ,54.3718251,-6.5513049,,,,[1919],Wilson,not stated,f,married,
http://www.scarletfinders.co.uk/178.html,4487,general supply depot,"THE RECTORY, KILMORE",Richhill (Log a' Choire),Richhill (Log a' Choire) Ireland ,54.3718251,-6.5513049,,,,[1919],Mayse,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation / Freemans Journal 1763-1924, Thursday, September 14, 1916; Page: 6",none,moss depot & general supply depot,not stated,Roscommon,Roscommon Ireland ,53.6275906,-8.1890955,Roscommon,Roscommon,Sept. 1916,[1919],Lady De Freyne,,f,married,"Mrs. Talbot, Mrs. St. Lawrence Tyrrell"
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Roscommon,Roscommon Ireland ,53.6275906,-8.1890955,Roscommon,Roscommon,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Roscrea,Roscrea Ireland ,52.9551789,-7.7984696,Tipperary,Tipperary,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Roscrea,Roscrea Ireland ,52.9551789,-7.7984696,Queen’s County,Laois,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,5333,general supply depot,ROSSNOWLAGH RECTORY,Rossnawlagh,Rossnawlagh Ireland ,54.5571558,-8.2071338,,,,[1919],Trinder,not stated,f,married,
http://www.scarletfinders.co.uk/178.html,5467,general supply depot,not stated,Rostrever,Rostrever Ireland ,54.10073,-6.2003999,,,,[1919],Sinton,R. ,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Rostrevor,Rostrevor Ireland ,54.10073,-6.2003999,,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Rosturk,Rosturk Ireland ,53.9064967,-9.7171086,Mayo,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Roundwood,Roundwood Ireland ,53.0657875,-6.2241877,Wicklow,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Scarrit (most likely Scariff / Scarriff / An Scairbh),Scariff,52.90872,-8.53316,Clare,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Shankhill,Shankhill Ireland ,53.2332663,-6.1237578,Dublin,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Shinrone,Shinrone Ireland ,52.9844035,-7.9245622,King's County,Offaly,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Sixmilebridge,Sixmilebridge Ireland ,52.7436246,-8.7776504,Clare,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Skibbereen,Skibbereen Ireland ,51.5559244,-9.2621303,Cork,Cork,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Skull,Skull Ireland ,51.526867,-9.5479801,Cork,Cork,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Sneem,Sneem Ireland ,51.8373942,-9.8983245,Kerry,Kerry,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Spiddle,Spiddle Ireland ,53.2441766,-9.3053627,Galway,Galway,,[1919],,,,,
"http://www.scarletfinders.co.uk/178.html / Strabane Chronicle 1908-current, Wednesday, April 11, 1917; Section: Front page, Page: 1",1812,general supply depot,MAGHEREAGH,Strabane,Strabane Ireland ,54.8273865,-7.4633103,,West Tyrone,,[1919],Clarke,B. A.,f,single,
"http://www.scarletfinders.co.uk/178.html / Strabane Chronicle 1908-current, Wednesday, April 11, 1917; Section: Front page, Page: 1",5384,general supply depot,DERRY ROAD,Strabane,Strabane Ireland ,54.8273865,-7.4633103,,West Tyrone,,[1919],McCrea,not stated,f,single,
"http://www.scarletfinders.co.uk/178.html / Strabane Chronicle 1908-current, Wednesday, April 11, 1917; Section: Front page, Page: 1",5403,general supply depot,HAZELWOOD,Strabane,Strabane Ireland ,54.8273865,-7.4633103,,West Tyrone,,[1919],Hill,(James),f,married,
"Leinster Express 1831-current, Saturday, August 12, 1916; Page: 3",none,sub-depot affiliated with Abbeyleix,Stradbally Hall,Stradbally,Stradbally Ireland,,,Queen's County,Laois,1916,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Straffan,Straffan Ireland ,53.3118851,-6.6088248,,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Street,Street Ireland ,53.6806823,-7.4914985,Meath,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Sugarloaf,Sugarloaf Ireland ,53.1542323,-6.1498951,Wicklow,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,4172,general supply depot,ORANGE HILL,Tandragee,Tandragee Ireland ,54.3561049,-6.4147568,,,,[1919],White,not stated,f,married,
http://www.scarletfinders.co.uk/178.html,5482,general supply depot,BARNANE RECTORY,Templemore,Templemore Ireland ,52.794802,-7.8398609,Tipperary,Tipperary,,[1919],Madden,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Templemore,Templemore Ireland ,52.794802,-7.8398609,Tipperary,Tipperary,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Templemore,Templemore Ireland ,52.794802,-7.8398609,Tipperary,Tipperary,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,5383,general supply depot,LYE HILL MANSE,Templepatrick,Templepatrick Ireland ,54.70431,-6.0923901,,,,[1919],Wallace,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Tempo,Tempo Ireland ,54.37648,-7.4609224,Fermanagh and Cavan (not clearly separated),,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Thomastown,Thomastown Ireland ,52.5270825,-7.1388211,,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,5129,general supply depot,GRAIGUENOE PARK,Thurles,Thurles Ireland ,52.6801064,-7.8044421,,Tipperary,,[1919],Clarke,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss depot,moss depot,Littleton Rectory,Thurles,Thurles Ireland ,52.6801064,-7.8044421,,Tipperary,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Tihahely,Tihahely Ireland ,52.7997634,-6.4631844,Wicklow,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Tipperary,Tipperary Ireland ,52.4747264,-8.1544426,Tipperary,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,4880,general supply depot,BALLYARD HOUSE,Tralee,Tralee Ireland ,52.2713096,-9.6999325,Kerry,Kerry,,[1919],Fitzgerald,R.,f,married,
"Kerry Sentinel 1878-1916, Wednesday, December 13, 1916; Page: 3",none,woodwork sub-depot (men's section),TRALEE TECHNICAL SCHOOL,Tralee,Tralee Ireland ,52.2713096,-9.6999325,Kerry,Kerry,Dec. 1916,[1919],the teachers,,m,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation / Waterford News and Star 1848-current, Friday, July 09, 1915; Page: 8 / Waterford News and Star 1848-current, Friday, July 27, 1917; Page: 12",moss depot,moss depot (initially planned as general supply depot),not stated,Tramore,Tramore Ireland ,52.1614354,-7.1492952,,,1915-,[1919],Lady Waterford,,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Tuam,Tuam Ireland ,53.5141156,-8.8565177,Galway,Galway,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,1609,general supply depot,not stated,Tullamore,Tullamore Ireland ,53.2755255,-7.4933852,King's County,Offaly,,[1919],Moorhead,unkown,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss depot,moss depot,not stated,Tullamore,Tullamore Ireland ,53.2755255,-7.4933852,King's County,Offaly,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Tullow,Tullow Ireland ,52.802547,-6.7371517,Carlow,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,4203,general supply depot,TYNAN ABBEY,Tynan,Tynan Ireland ,54.32999,-6.82263,,,,[1919],Stronge,Rose,f,single,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Urlingford,Urlingford Ireland ,52.719749,-7.5838666,Kilkenny,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Virginia,Virginia Ireland ,53.8344096,-7.0813222,Fermanagh and Cavan (not clearly separated),,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,5074,general supply depot,NARROW WATER,Warrenpoint,Warrenpoint Ireland ,54.105301,-6.2520778,Down,Down,,[1919],Hall,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Warrenpoint,Warrenpoint Ireland ,54.105301,-6.2520778,Down,Down,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Waterville,Waterville Ireland ,51.829465,-10.1745436,Kerry,Kerry,,[1919],,,,,
"Waterford News and Star 1848-current, Friday, July 09, 1915; Page: 8",none,general supply depot,not stated,Waterford,Waterford Ireland,52.2593197,-7.1100702,,,1915-,[1919],Lady Waterford,,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Westport,Westport Ireland ,53.8021307,-9.5143467,Mayo,Mayo,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Wexford,Wexford Ireland ,52.336916,-6.4633381,Wexford,Wexford,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,4934,general supply depot,JORDANSTOWN RECTORY,Whiteabbey,Whiteabbey Ireland ,54.66861,-5.9027838,,Belfast Metropolitan Area,,[1919],Bradley,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Wicklow,Wicklow Ireland ,52.9808207,-6.044589,Wicklow,Wicklow,,[1919],,,,,
"Wicklow News-Letter 1900-1926, Saturday, November 20, 1915; Page: 5",none,general supply depot,not stated,Wicklow,Wicklow Ireland ,52.9808207,-6.044589,Wicklow,Wicklow,1915,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Wicklow,Wicklow Ireland ,52.9808207,-6.044589,Wicklow,Wicklow,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,1882,general supply depot,THE COTTAGE,Youghal,Youghal Ireland ,51.9542704,-7.8471707,Cork,Cork,,[1919],Wood,R. H.,f,married,
http://www.scarletfinders.co.uk/178.html,5090,general supply depot,THE COLLEGE,Youghal,Youghal Ireland ,51.9542704,-7.8471707,Cork,Cork,,[1919],Wood,not stated,f,married,
